Model,Release date,Max resolution,Low resolution,Effective pixels,Zoom wide (W),Zoom tele (T),Normal focus range,Macro focus range,Storage included,Weight (inc. batteries),Dimensions,Price,Sponsorded
Canon EOS R3,2021,6000,4000,24,0,0,0,0,0,1015,150,5999,No
Canon EOS R5,2020,8192,5464,45,0,0,0,0,0,738,138,3899,No
Canon EOS R5 Mark II,2024,8192,5464,45,0,0,0,0,0,746,138,3999,No
Canon EOS R6 Mark II,2022,6000,4000,24,0,0,0,0,0,670,138,2499,No
Canon EOS R6,2020,5472,3648,20,0,0,0,0,0,680,138,2499,No
Canon PowerShot G7 X Mark III,2019,5472,3648,20,24,100,5,5,0,304,105,909,Yes
Canon PowerShot G9 X Mark II,2017,5472,3648,20,28,84,5,5,0,206,98,529,No
Canon PowerShot SX740 HS Lite Edition,2018,5184,3888,21,24,960,1,1,0,299,110,499,No
Nikon Z9,2021,8256,5504,46,0,0,0,0,0,1340,149,5499,No
Nikon Z8,2023,8256,5504,46,0,0,0,0,0,910,144,3999,No
Nikon Z7 II,2020,8256,5504,46,0,0,0,0,0,705,134,2999,No
Nikon Z7,2018,8256,5504,46,0,0,0,0,0,675,134,2799,No
Nikon Z6 II,2020,6048,4024,25,0,0,0,0,0,705,134,1999,No
Nikon Z6,2018,6048,4024,25,0,0,0,0,0,675,134,1799,No
Nikon Zf,2023,6048,4024,24,0,0,0,0,0,710,144,1999,No
Nikon Zfc,2021,5568,3712,21,0,0,0,0,0,445,135,959,No
Nikon Z5,2020,6016,4016,24,0,0,0,0,0,675,134,1399,No
Nikon Z50,2019,5568,3712,21,0,0,0,0,0,450,127,859,No
Sony A1,2021,8640,5760,50,0,0,0,0,0,737,129,6499,No
Sony A9 III,2023,6000,4000,24,0,0,0,0,0,702,136,5999,No
Sony A9 II,2019,6000,4000,24,0,0,0,0,0,678,129,4499,No
Sony A7R V,2022,9504,6336,61,0,0,0,0,0,723,131,3899,No
Sony A7R IV,2019,9504,6336,61,0,0,0,0,0,665,129,3499,No
Sony A7 IV,2021,7008,4672,33,0,0,0,0,0,658,131,2499,No
Sony A7S III,2020,4240,2832,12,0,0,0,0,0,699,129,3499,No
Sony A7C II,2023,7008,4672,33,0,0,0,0,0,514,124,2199,No
Sony A6700,2023,6000,4000,26,0,0,0,0,0,493,122,1399,No
Sony ZV-E10,2021,6000,4000,24,0,0,0,0,0,343,115,699,No
Sony Cyber-shot RX100 VII,2019,5472,3648,20,24,200,8,8,0,302,102,1299,No
Panasonic Lumix DC-S1R,2019,8368,5584,47,0,0,0,0,0,1020,149,3699,No
Panasonic Lumix DC-S1,2019,6000,4000,24,0,0,0,0,0,1021,149,2499,No
Panasonic Lumix DC-S1H,2019,6000,4000,24,0,0,0,0,0,1164,151,3999,No
Panasonic Lumix DC-S5 II,2023,6000,4000,24,0,0,0,0,0,740,134,1999,No
Panasonic Lumix DC-S5,2020,6000,4000,24,0,0,0,0,0,714,133,1699,No
Panasonic Lumix DC-GH6,2022,5776,4336,25,0,0,0,0,0,823,138,2199,No
Panasonic Lumix DC-GH5 II,2021,5184,3888,20,0,0,0,0,0,727,139,1699,No
Panasonic Lumix DC-G9 II,2023,5776,4336,25,0,0,0,0,0,658,134,1899,No
Panasonic Lumix DC-S9,2024,6000,4000,24,0,0,0,0,0,486,126,1499,No
Panasonic Lumix DC-G100,2020,5184,3888,20,0,0,0,0,0,345,116,749,No
OM System OM-1 Mark II,2024,5184,3888,20,0,0,0,0,0,599,135,2399,No
OM System OM-1,2022,5184,3888,20,0,0,0,0,0,599,135,2199,No
OM System OM-5,2022,5184,3888,20,0,0,0,0,0,414,125,1199,No
Olympus PEN E-P7,2021,5184,3888,20,0,0,0,0,0,337,118,799,No
OM System Tough TG-7,2023,4000,3000,12,25,100,1,1,0,249,114,499,No
Olympus Tough TG-6,2019,4000,3000,12,25,100,1,1,0,253,113,449,No
Olympus OM-D E-M1X,2019,5184,3888,20,0,0,0,0,0,997,144,2999,No
Olympus OM-D E-M1 Mark III,2020,5184,3888,20,0,0,0,0,0,580,134,1799,No
Olympus OM-D E-M5 Mark III,2019,5184,3888,20,0,0,0,0,0,414,125,1199,No
Olympus OM-D E-M10 Mark IV,2020,5184,3888,20,0,0,0,0,0,383,122,699,No
Olympus PEN E-PL10,2019,4608,3456,16,0,0,0,0,0,380,117,599,No